(Node-Category	ROOT1	ROOT)
(Node-Category	S2	S)
(Node-Category	VP3	VP)
(Node-Category	VBZ4	VBZ)
(Node-Category	NP5	NP)
(Node-Category	NP6	NP)
(Node-Category	NP7	NP)
(Node-Category	DT8	DT)
(Node-Category	NN9	NN)
(Node-Category	PP10	PP)
(Node-Category	IN11	IN)
(Node-Category	NP12	NP)
(Node-Category	DT13	DT)
(Node-Category	NNP14	NNP)
(Node-Category	P_COM15	P_COM)
(Node-Category	NP16	NP)
(Node-Category	NP17	NP)
(Node-Category	DT18	DT)
(Node-Category	JJ19	JJ)
(Node-Category	NN20	NN)
(Node-Category	P_COM21	P_COM)
(Node-Category	NP22	NP)
(Node-Category	PRP$23	PRP$)
(Node-Category	JJ24	JJ)
(Node-Category	NNS25	NNS)
(Node-Category	CC26	CC)
(Node-Category	NP27	NP)
(Node-Category	NNS28	NNS)
(Node-Category	CC29	CC)
(Node-Category	NP30	NP)
(Node-Category	NP31	NP)
(Node-Category	DT32	DT)
(Node-Category	JJ33	JJ)
(Node-Category	NN34	NN)
(Node-Category	CC35	CC)
(Node-Category	NP36	NP)
(Node-Category	JJ37	JJ)
(Node-Category	NNS38	NNS)
(Node-Category	P_DOT39	P_DOT)
